uniqueID,sentenceType,isOrig,KL,minKL
156,nonpun,0,2.87426167084e-34,3.74618939704e-36
157,nonpun,0,2.48124858669e-34,-6.71934593165e-36
158,nonpun,0,2.5968692748e-34,5.73504191813e-36
159,nonpun,0,2.99657818217e-34,-1.22533215091e-35
160,nonpun,0,2.38643287589e-34,9.23910898346e-36
161,nonpun,0,2.34637928164e-34,-3.6135439766e-36
162,nonpun,0,3.406519921e-34,-2.28798040455e-35
163,nonpun,0,2.80365652462e-34,-1.52183347052e-35
164,nonpun,0,3.03570419816e-34,-4.81187678539e-36
165,nonpun,0,3.18133957012e-34,-1.74363588282e-35
166,nonpun,0,2.67701910988e-34,-1.39078174076e-37
167,nonpun,0,2.87896723329e-34,1.1447189522e-35
168,nonpun,0,3.01394601881e-34,-1.69154715431e-35
169,nonpun,0,3.07313467375e-34,-2.34785269927e-35
170,nonpun,0,2.81124555012e-34,-1.35226334333e-35
171,nonpun,0,4.28821628891e-34,-3.83402565997e-35
172,nonpun,0,3.69112442638e-34,-2.28552949148e-35
173,nonpun,0,2.55352364561e-34,-3.02369374498e-35
174,nonpun,0,2.33251275267e-34,3.97919415192e-36
175,nonpun,0,3.88255459706e-34,-4.86559429256e-35
176,nonpun,0,2.50064348945e-34,-1.71328687788e-35
177,nonpun,0,3.19695141413e-34,-2.38342400962e-35
178,nonpun,0,2.51842752495e-34,-1.01385012909e-35
179,nonpun,0,3.65629421513e-34,-4.24947930803e-35
180,nonpun,0,2.36525737756e-34,-7.2850105122e-36
181,nonpun,0,3.20199601639e-34,-2.44522441845e-35
182,nonpun,0,3.46887242209e-34,-2.94645413979e-35
183,nonpun,0,2.66102214507e-34,-2.28226430113e-35
184,nonpun,0,3.83699083432e-34,-3.02940754148e-35
185,nonpun,0,3.19098042851e-34,-3.5327869165e-35
186,nonpun,0,2.89243793247e-34,-3.3321340695e-35
187,nonpun,0,3.66350563524e-34,-1.93719619346e-35
188,nonpun,0,3.02935970073e-34,-1.12819523809e-35
189,nonpun,0,2.50532844479e-34,-2.66999057547e-35
190,nonpun,0,2.46338217015e-34,-1.46673439113e-35
191,nonpun,0,3.12103990052e-34,-2.35013162853e-35
192,nonpun,0,2.4787492929e-34,9.30329250799e-36
