uniqueID,sentenceType,isOrig,maxPm1,maxPm2,numWordsM1,numWordsM2
214,nonpun,m1,2.4814079786e+107,5.04125190151e+94,6,6
215,nonpun,m1,1.83759300877e+38,4.5202744057e+31,2,2
216,nonpun,m1,2.752179616e+75,1.30072526259e+62,4,4
217,nonpun,m1,1.68850513379e+80,2.01605791576e+69,4,4
218,nonpun,m1,1.91456786012e+76,5.3413165548e+63,4,4
219,nonpun,m1,5.77155358785e+70,4.0310897112e+63,4,4
220,nonpun,m1,3.0661324709e+52,3.89502928688e+47,3,3
221,nonpun,m1,3.39090170702e+50,3.59210523836e+40,3,3
222,nonpun,m1,1.18654024528e+89,2.17917962742e+82,5,5
223,nonpun,m1,3.71744977122e+78,3.4914625449e+68,4,4
224,nonpun,m1,4.19682945267e+75,1.197881892e+65,4,4
225,nonpun,m1,5.14465541264e+118,1.71373847098e+102,6,6
226,nonpun,m1,7.03117305248e+96,1.3378651682e+83,5,5
227,nonpun,m1,5.03179129606e+84,9.23024838451e+77,5,5
228,nonpun,m1,4.76985474041e+87,3.29944400518e+82,5,5
229,nonpun,m1,4.99006016835e+55,3.16524083915e+43,3,3
230,nonpun,m1,5.59760558083e+92,3.03865615556e+81,5,5
231,nonpun,m1,1.55683907265e+58,4.93876228136e+48,3,3
232,nonpun,m1,2.87720125485e+60,1.12589863211e+53,3,3
233,nonpun,m1,8.7317680499e+57,1.34090036474e+48,3,3
234,nonpun,m1,1.58578499495e+126,4.14992461426e+116,7,7
235,nonpun,m1,2.88670772305e+78,1.37363743145e+70,4,4
236,nonpun,m1,5.86425112933e+92,6.2181252026e+82,5,5
237,nonpun,m1,6.10274640218e+117,4.5068076482e+107,6,6
238,nonpun,m1,1.51290954147e+91,1.25775859057e+83,5,5
239,nonpun,m1,3.38936841498e+54,2.73731240533e+51,3,3
240,nonpun,m1,1.03222570609e+55,8.88842732154e+47,3,3
241,nonpun,m1,2.0890472944e+131,1.09120447118e+116,7,7
242,nonpun,m1,6.08165709962e+42,8.22319647822e+28,2,2
243,nonpun,m1,2.78675425677e+86,7.23880521983e+78,5,5
244,nonpun,m1,8.09033504907e+72,2.47197662545e+62,4,4
245,nonpun,m1,6.55835208411e+112,6.44221405697e+100,6,6
246,nonpun,m1,3.98574830066e+98,7.7644999817e+80,5,5
247,nonpun,m1,2.50468621292e+81,8.32648966809e+63,4,4
248,nonpun,m1,6.45963752294e+95,2.57672183545e+79,5,5
249,nonpun,m1,1.31606026412e+98,4.87921322427e+81,5,5
250,nonpun,m1,1.44648350425e+48,2.4873449492e+41,3,3
251,nonpun,m1,8.74939158616e+95,2.72494853562e+83,5,5
252,nonpun,m1,9.0023095664e+81,1.60021736957e+65,4,4
253,nonpun,m1,4.73263637111e+82,2.93964441182e+66,4,4
254,nonpun,m1,1.17472328819e+111,6.94988255835e+92,6,6
255,nonpun,m1,4.65598293073e+43,1.76085962887e+30,2,2
256,nonpun,m1,1.57230858888e+76,3.2205316797e+62,4,4
257,nonpun,m1,2.20857443151e+102,3.25262286295e+86,5,5
258,nonpun,m1,8.81566787708e+94,1.83977262882e+82,5,5
259,nonpun,m1,4.43280231885e+87,1.44558684602e+75,5,5
260,nonpun,m1,1.70108881717e+39,2.10236845369e+24,2,2
261,nonpun,m1,7.31427250738e+110,6.85805581886e+97,6,6
262,nonpun,m1,1.06330429653e+110,3.43194043722e+99,6,6
263,nonpun,m1,6.14529702657e+130,1.91262544023e+113,7,7
264,nonpun,m1,2.92914841032e+69,9.37804644929e+57,4,4
265,nonpun,m1,2.57853860747e+56,1.76487406274e+45,3,3
266,nonpun,m1,6.2362763593e+58,5.97626418213e+41,3,3
267,nonpun,m1,3.30860959052e+73,2.77070510349e+64,4,4
268,nonpun,m1,8.83167508727e+111,4.2200000505e+100,6,6
269,nonpun,m1,1.75516735253e+79,5.81705917859e+68,4,4
270,nonpun,m1,6.01626873692e+77,1.06325976541e+62,4,4
271,nonpun,m1,5.26539219783e+41,4.85283638817e+28,2,2
272,nonpun,m1,2.17614295571e+145,2.50471724708e+130,8,8
273,nonpun,m1,1.29758904849e+71,5.15530596928e+63,4,4
274,nonpun,m1,5.35848379963e+71,1.08945198898e+61,4,4
275,nonpun,m1,4.97044498083e+58,7.01950281854e+43,3,3
276,nonpun,m1,7.88494050401e+93,9.37601332636e+86,5,5
277,nonpun,m1,2.18123655541e+80,1.99198993722e+70,4,4
278,nonpun,m1,3.3172068415e+92,4.88504240826e+82,5,5
279,nonpun,m1,8.24504893988e+91,1.24997175951e+79,5,5
280,nonpun,m1,3.67328531842e+54,3.10454232932e+44,3,3
281,nonpun,m1,3.75920753612e+131,3.60949523257e+117,7,7
282,nonpun,m1,4.37812330996e+54,1.55919261651e+47,3,3
283,nonpun,m1,1.3393576767e+98,5.57811328288e+84,5,5
284,nonpun,m1,7.22712646561e+129,6.97192553985e+119,7,7
285,nonpun,m1,8.01799393287e+64,8.01378279134e+47,3,3
286,nonpun,m1,2.97926236886e+81,1.13532616376e+65,4,4
287,nonpun,m1,1.72861817385e+55,1.4499088101e+51,3,3
288,nonpun,m1,9.08948913183e+79,1.07236828037e+69,4,4
289,nonpun,m1,3.82476538935e+77,1.0962946747e+60,4,4
290,nonpun,m1,3.18579557027e+112,1.00805152615e+104,6,6
291,nonpun,m1,1.69835886105e+86,7.6366356277e+67,4,4
