pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,dummy
1510,283,nonpun,43,b,irrigation,hide,15,1
1511,284,nonpun,44,b,auntie,owner,15,1
1512,287,nonpun,47,b,house,asked,15,1
1513,290,nonpun,50,b,garden,dog,15,1
1514,292,nonpun,52,b,odor,arranged,15,1
1515,294,nonpun,54,b,pest,class,15,1
1516,296,nonpun,56,b,leg,days,15,1
1517,298,nonpun,58,b,grammatic,accident,15,1
1518,301,nonpun,61,b,dublin,amount,15,1
1519,303,nonpun,63,b,fridge,go,15,1
1520,305,nonpun,65,b,revolution,admired,15,1
1521,307,nonpun,67,b,incisor,get,15,1
1522,309,nonpun,69,b,glittering,fine,15,1
1523,312,nonpun,72,b,necks,you'll,15,1
1524,314,nonpun,74,b,ream,made,15,1
1525,316,nonpun,76,b,author,ride,15,1
1526,318,nonpun,78,b,paste,employees,15,1
23,4,pun,4,a,heir,put,16,1
71,13,pun,13,a,whirled,astronaut,16,1
119,22,pun,22,a,sperm,either,16,1
167,30,pun,30,a,tamper,barista,16,1
215,37,pun,37,a,tolkien,wife,16,1
263,47,pun,47,a,house,real,16,1
311,57,pun,57,a,decade,brushing,16,1
359,65,pun,65,a,revolution,satellite,16,1
407,73,pun,73,a,digestion,call,16,1
455,81,pun,1,b,line,tow,16,1
503,90,pun,10,b,steeler,stole,16,1
551,99,pun,19,b,salvation,pavlov,16,1
599,106,pun,26,b,habit,force,16,1
647,115,pun,35,b,leaving,like,16,1
695,123,pun,43,b,irritation,sprinkler,16,1
743,133,pun,53,b,lot,turn,16,1
791,142,pun,62,b,prison,scientist,16,1
839,149,pun,69,b,littering,bell,16,1
887,159,pun,79,b,express,why,16,1
935,169,nonpun,9,a,math,school,16,1
983,185,nonpun,25,a,bonus,company,16,1
1031,196,nonpun,36,a,yams,turkey,16,1
1079,209,nonpun,49,a,alp,very,16,1
1127,222,nonpun,62,a,prism,split,16,1
1175,235,nonpun,75,a,seize,away,16,1
1223,248,nonpun,8,b,reward,hard,16,1
1271,262,nonpun,22,b,spur,together,16,1
1319,276,nonpun,36,b,lambs,leg,16,1
1367,289,nonpun,49,b,help,homework,16,1
1415,303,nonpun,63,b,bridge,trains,16,1
1463,316,nonpun,76,b,offer,give,16,1
1464,161,nonpun,1,a,line,profits,16,1
1465,163,nonpun,3,a,sillier,cells,16,1
1466,166,nonpun,6,a,ambulance,hotel,16,1
1467,168,nonpun,8,a,reward,mayor,16,1
1468,171,nonpun,11,a,wicked,chair,16,1
1469,172,nonpun,12,a,special,paper,16,1
1470,175,nonpun,15,a,lunch,space,16,1
1471,177,nonpun,17,a,free,fleas,16,1
1472,181,nonpun,21,a,bail,fingertips,16,1
1473,184,nonpun,24,a,pock,arms,16,1
1474,185,nonpun,25,a,bones,end,16,1
1475,187,nonpun,27,a,screening,man,16,1
1476,189,nonpun,29,a,can't,german,16,1
1477,191,nonpun,31,a,late,wake,16,1
1478,193,nonpun,33,a,twist,go,16,1
1479,195,nonpun,35,a,leaving,saw,16,1
1480,197,nonpun,37,a,talking,lord,16,1
1481,200,nonpun,40,a,alcohol,tried,16,1
1482,201,nonpun,41,a,slave,beard,16,1
1483,202,nonpun,42,a,aching,american,16,1
1484,204,nonpun,44,a,ante,betty,16,1
1485,207,nonpun,47,a,how's,located,16,1
1486,209,nonpun,49,a,help,mountain,16,1
1487,211,nonpun,51,a,been,black,16,1
1488,213,nonpun,53,a,lot,uses,16,1
1489,214,nonpun,54,a,best,pests,16,1
1490,217,nonpun,57,a,decay,time,16,1
1491,220,nonpun,60,a,hostile,plant,16,1
1492,223,nonpun,63,a,bridge,put,16,1
1493,225,nonpun,65,a,resolution,people,16,1
1494,227,nonpun,67,a,insider,tore,16,1
1495,229,nonpun,69,a,littering,jewels,16,1
1496,232,nonpun,72,a,next,wore,16,1
1497,234,nonpun,74,a,cream,reams,16,1
1498,236,nonpun,76,a,offer,famous,16,1
1499,237,nonpun,77,a,sauce,money,16,1
1500,240,nonpun,80,a,sense,flowers,16,1
1501,242,nonpun,2,b,tooth,speaks,16,1
1502,245,nonpun,5,b,clothing,chairman,16,1
